match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_3416274,Cloud9,NRG Kia,LCS,2023-08-20 22:09:52,NRG Kia,2516,NRG Kia,1
ESPORTSTMNT01_3417100,NRG Kia,Team Liquid,LCS,2023-08-19 21:12:42,Team Liquid,2086,Team Liquid,1
ESPORTSTMNT01_3417103,NRG Kia,Team Liquid,LCS,2023-08-19 22:11:41,NRG Kia,1400,NRG Kia,0
ESPORTSTMNT01_3417104,NRG Kia,Team Liquid,LCS,2023-08-19 23:42:58,NRG Kia,2110,Team Liquid,0
ESPORTSTMNT01_3417173,Cloud9,NRG Kia,LCS,2023-08-20 20:19:23,Cloud9,1925,Cloud9,0
ESPORTSTMNT01_3417177,Cloud9,NRG Kia,LCS,2023-08-20 23:14:37,NRG Kia,2343,Cloud9,1
ESPORTSTMNT02_2551857,Team Liquid,Dignitas,LCS,2022-01-28 21:53:04,Dignitas,2588,Team Liquid,1
ESPORTSTMNT02_2552297,Evil Geniuses,Cloud9,LCS,2022-01-29 20:45:31,Evil Geniuses,1574,Evil Geniuses,0
ESPORTSTMNT02_2552332,Cloud9,Evil Geniuses,LCS,2022-01-29 22:00:54,Evil Geniuses,1781,Evil Geniuses,1
ESPORTSTMNT02_2552343,Cloud9,Evil Geniuses,LCS,2022-01-29 22:52:36,Evil Geniuses,1786,Evil Geniuses,2
ESPORTSTMNT02_2552854,Evil Geniuses,Team Liquid,LCS,2022-01-30 21:02:22,Team Liquid,2043,Team Liquid,0
ESPORTSTMNT02_2552876,Team Liquid,Evil Geniuses,LCS,2022-01-30 21:59:02,Team Liquid,1852,Evil Geniuses,0
ESPORTSTMNT02_2571870,Team Liquid,Dignitas,LCS,2022-01-28 23:22:12,Team Liquid,2003,Dignitas,0
ESPORTSTMNT02_2571892,Dignitas,Team Liquid,LCS,2022-01-29 00:17:44,Team Liquid,2130,Team Liquid,1
ESPORTSTMNT02_2571901,Dignitas,Team Liquid,LCS,2022-01-29 01:13:24,Team Liquid,2036,Team Liquid,1
ESPORTSTMNT02_2572808,Evil Geniuses,Team Liquid,LCS,2022-01-30 18:42:24,Team Liquid,1584,Team Liquid,1
ESPORTSTMNT02_2575958,Evil Geniuses,TSM,LCS,2022-02-05 20:33:18,Evil Geniuses,2031,Evil Geniuses,0
ESPORTSTMNT02_2575995,Counter Logic Gaming,FlyQuest,LCS,2022-02-05 22:16:56,FlyQuest,2936,Counter Logic Gaming,0
ESPORTSTMNT02_2576032,Team Liquid,100 Thieves,LCS,2022-02-05 23:40:17,100 Thieves,2412,Team Liquid,1
ESPORTSTMNT02_2576065,Golden Guardians,Cloud9,LCS,2022-02-06 00:57:23,Cloud9,1565,Golden Guardians,1
ESPORTSTMNT02_2576077,Dignitas,Immortals,LCS,2022-02-06 01:52:58,Dignitas,1888,Dignitas,0
ESPORTSTMNT02_2576404,100 Thieves,Counter Logic Gaming,LCS,2022-02-06 18:24:54,100 Thieves,1889,100 Thieves,0
ESPORTSTMNT02_2576516,TSM,Dignitas,LCS,2022-02-06 21:12:45,Dignitas,2274,Dignitas,1
